x,y,mass,velocity_x,velocity_y
239.682,159.633,0.546795,0.998595,-0.0529972,
119.274,295.733,0.102961,0.941328,-0.337493,
178.909,620.349,0.197792,0.607817,-0.794077,
563.642,55.4056,0.101785,-0.218523,0.975832,
171.882,209.702,0.282151,0.984528,-0.175229,
473.795,101.956,0.0784337,0.860419,0.509587,
148.858,119.009,0.0537925,0.998086,0.0618408,
330.21,280.313,0.772964,0.842175,-0.539205,
191.429,151.484,0.763559,0.999743,-0.0226843,
81.073,541.978,0.0715789,0.757825,-0.652458,
460.854,206.89,0.70119,0.794892,-0.60675,
304.318,688.197,0.876495,0.402637,-0.91536,
50.9649,711.816,0.756317,0.655235,-0.755425,
332.92,602.891,0.949337,0.417369,-0.908737,
403.63,301.065,0.0835745,0.664942,-0.746895,
40.1987,504.784,0.968377,0.812589,-0.582837,
4.33145,567.625,0.334303,0.786192,-0.617982,
81.2121,349.403,0.770841,0.913614,-0.406583,
539.725,720.872,0.243672,0.00726144,-0.999974,
544.522,768.261,0.273859,-0.000966543,-1,
582.085,599.304,0.713007,-0.0834419,-0.996513,
379.371,30.5689,0.563812,0.82453,0.565819,
418.97,755.906,0.398063,0.199906,-0.979815,
584.47,79.492,0.0534064,-0.535263,0.844685,
116.407,253.134,0.419102,0.968648,-0.248438,
90.0087,154.595,0.911849,0.999701,-0.0244661,
477.037,520.98,0.332769,0.174453,-0.984665,
95.0487,29.7377,0.26659,0.969359,0.245647,
342.155,551.721,0.948716,0.443073,-0.896486,
552.197,234.515,0.326558,-0.0905746,-0.99589,
543.947,429.709,0.262848,-0.000101646,-1,
516.648,560.295,0.251556,0.0652863,-0.997867,
584.429,386.01,0.0306072,-0.164758,-0.986334,
303.888,615.852,0.444233,0.453013,-0.891504,
296.977,129.737,0.77888,0.998453,0.0555937,
496.49,665.003,0.373603,0.0905688,-0.99589,
309.606,305.646,0.206996,0.822286,-0.569075,
418.524,271.937,0.959164,0.698541,-0.71557,
472.207,451.414,0.826717,0.226814,-0.973938,
98.4058,221.014,0.41091,0.985194,-0.171443,
63.565,359.355,0.260827,0.912127,-0.409907,
428.715,534.334,0.733344,0.282726,-0.959201,
511.56,22.4256,0.900389,0.25822,0.966086,
389.837,193.626,0.518166,0.950918,-0.309442,
32.9773,76.1527,0.0594955,0.991428,0.130654,
363.433,599.848,0.750588,0.36777,-0.929917,
534.621,602.238,0.257316,0.020262,-0.999795,
144.478,284.273,0.977147,0.943132,-0.332418,
485.639,144.995,0.123392,0.999665,-0.0258751,
23.6812,554.836,0.439252,0.784416,-0.620235,
314.572,445.351,0.50463,0.604963,-0.796253,
510.355,640.507,0.88714,0.0673739,-0.997728,
170.317,233.949,0.351672,0.971914,-0.235336,
242.802,596.065,0.774441,0.553932,-0.832562,
54.7444,629.141,0.818375,0.709655,-0.70455,
89.5486,713.782,0.552677,0.623132,-0.782117,
571.414,303.207,0.224276,-0.169655,-0.985504,
374.543,350.37,0.0845345,0.633477,-0.773762,
372.055,0.695859,0.480824,0.769164,0.639052,
85.4247,61.9112,0.520947,0.984538,0.175169,
166.828,352.167,0.918012,0.874958,-0.484199,
268.574,589.327,0.348548,0.525454,-0.850822,
300.085,286.14,0.283213,0.863134,-0.504974,
246.592,232.426,0.25558,0.958055,-0.286585,
316.683,475.248,0.249827,0.56509,-0.825029,
503.008,81.9484,0.594064,0.553616,0.832772,
215.403,63.3654,0.186125,0.971523,0.236943,
141.789,26.9178,0.455201,0.96046,0.278417,
373.802,588.649,0.561556,0.356967,-0.934117,
242.42,310.586,0.145324,0.874648,-0.484758,
537.693,304.845,0.171999,0.0385463,-0.999257,
49.94,453.615,0.855291,0.846924,-0.531715,
383.788,186.93,0.78066,0.965112,-0.261838,
297.209,616.52,0.36895,0.462432,-0.886655,
400.069,32.8558,0.951432,0.792684,0.609633,
570.807,13.2526,0.743377,-0.202206,0.979343,
225.525,588.775,0.356497,0.581637,-0.813449,
520.051,373.898,0.738965,0.103032,-0.994678,
294.3,241.52,0.9433,0.930791,-0.365553,
286.051,397.009,0.504761,0.713088,-0.701074,
327.291,590.689,0.489941,0.43595,-0.899971,
149.177,603.433,0.199095,0.651268,-0.758848,
87.892,507.506,0.833567,0.781538,-0.623857,
321.002,623.298,0.301817,0.421338,-0.906903,
348.271,419.954,0.848277,0.577654,-0.816281,
331.034,702.201,0.300716,0.356055,-0.934465,
486.223,280.649,0.657195,0.387728,-0.921774,
277.469,640.473,0.136012,0.472505,-0.881328,
209.592,610.654,0.481018,0.581969,-0.813211,
196.182,269.573,0.619283,0.940108,-0.340876,
438.351,444.625,0.371769,0.330821,-0.943694,
89.0427,22.6242,0.207488,0.966466,0.256794,
91.145,523.779,0.28017,0.765735,-0.643156,
238.064,551.057,0.789816,0.60022,-0.799835,
337.48,81.9255,0.274066,0.958298,0.285769,
132.986,768.112,0.229043,0.549611,-0.835421,
460.527,214.333,0.510567,0.762103,-0.647456,
271.766,606.649,0.216849,0.506609,-0.862176,
402.389,263.989,0.462915,0.761399,-0.648283,
129.757,692.464,0.789721,0.602257,-0.798303,
303.441,256.206,0.136658,0.905464,-0.424423,
5.24468,267.337,0.684385,0.974572,-0.224073,
499.95,616.228,0.258306,0.0926058,-0.995703,
360.926,311.101,0.892817,0.73741,-0.675445,
27.198,243.608,0.535286,0.98174,-0.190226,
545.129,587.182,0.556202,-0.00272879,-0.999996,
243.219,573.838,0.791392,0.572762,-0.819722,
119.743,687.043,0.264346,0.615213,-0.788361,
502.107,762.982,0.189531,0.0673391,-0.99773,
266.383,212.774,0.695522,0.970221,-0.242221,
425.364,89.9689,0.430957,0.911438,0.411438,
470.242,435.109,0.00845061,0.244943,-0.969537,
561.099,311.939,0.933846,-0.101468,-0.994839,
283.078,127.726,0.926935,0.99818,0.0603108,
558.452,13.1686,0.567849,-0.110839,0.993838,
286.869,113.195,0.281406,0.993128,0.117033,
275.444,787.043,0.436473,0.385012,-0.922911,
290.662,20.7786,0.0362707,0.89993,0.436035,
502.147,195.654,0.110156,0.625025,-0.780604,
597.239,563.017,0.548018,-0.126084,-0.99202,
156.238,239.375,0.235674,0.970747,-0.240105,
165.398,198.338,0.857245,0.989663,-0.143413,
367.98,476.412,0.459278,0.46723,-0.884136,
548.494,221.486,0.183546,-0.0585677,-0.998283,
58.7296,88.4774,0.0392426,0.993634,0.112654,
91.9398,211.115,0.315655,0.98899,-0.147981,
222.427,711.798,0.196262,0.492373,-0.870384,
46.66,742.046,0.546918,0.639014,-0.769195,
26.4016,455.711,0.957561,0.856238,-0.516581,
94.4746,249.551,0.183738,0.973265,-0.229683,
145.83,303.621,0.108531,0.927752,-0.373197,
274.168,768.102,0.736776,0.396473,-0.918047,
117.103,486.607,0.54974,0.77938,-0.626551,
524.823,394.993,0.98122,0.0757042,-0.99713,
114.499,271.589,0.398716,0.958269,-0.285869,
345.656,36.1565,0.941264,0.879408,0.476069,
244.176,706.839,0.388638,0.469718,-0.882816,
530.536,466.633,0.756722,0.0413764,-0.999144,
114.207,461.583,0.294522,0.803743,-0.594976,
30.4987,353.447,0.435527,0.925594,-0.378519,
581.632,395.243,0.613313,-0.148149,-0.988965,
364.354,659.108,0.306698,0.328876,-0.944373,
115.762,487.777,0.358034,0.779298,-0.626653,
536.472,798.753,0.53263,0.0113617,-0.999935,
304.278,279.261,0.430041,0.870056,-0.492954,
521.709,337.988,0.556736,0.113444,-0.993544,
408.721,757.691,0.372373,0.214971,-0.97662,
550.634,519.002,0.361101,-0.0178821,-0.99984,
345.442,309.762,0.295668,0.766549,-0.642186,
413.374,620.277,0.02798,0.264077,-0.964502,
522.32,130.991,0.836189,0.865576,0.500777,
413.425,58.5571,0.668188,0.838125,0.545478,
115.259,633.277,0.5551,0.658585,-0.752507,
137.273,67.6243,0.742523,0.98304,0.183392,
288.594,412.538,0.570157,0.688359,-0.72537,
591.921,593.992,0.393825,-0.105954,-0.994371,
4.67412,96.5186,0.660151,0.996228,0.0867705,
69.2523,632.623,0.607522,0.696411,-0.717643,
267.013,280.831,0.992166,0.895856,-0.444345,
267.145,667.717,0.436939,0.466885,-0.884318,
524.6,245.78,0.874847,0.185569,-0.982631,
542.479,445.585,0.381576,0.00476385,-0.999989,
32.8751,95.8601,0.655386,0.995686,0.092792,
362.562,72.9823,0.399478,0.932045,0.362342,
161.473,446.8,0.245389,0.783502,-0.62139,
546.177,312.989,0.674048,-0.0133285,-0.999911,
493.235,622.507,0.947073,0.105218,-0.994449,
577.982,312.552,0.649394,-0.197518,-0.980299,
564.797,453.043,0.481268,-0.067295,-0.997733,
162.911,18.4974,0.276972,0.950179,0.311705,
73.2987,789.763,0.607927,0.588662,-0.808379,
90.6419,385.847,0.879686,0.881857,-0.471518,
469.012,548.026,0.0793242,0.182068,-0.983286,
413.434,376.805,0.735278,0.488105,-0.872785,
204.42,366.445,0.887105,0.835863,-0.548937,
29.8707,686.936,0.995952,0.687181,-0.726486,
555.925,28.6469,0.905783,-0.103993,0.994578,
