x,y,mass,velocity_x,velocity_y
238.684,159.686,0.546795,0,0,
118.333,296.07,0.102961,0,0,
178.301,621.143,0.197792,0,0,
563.861,54.4297,0.101785,0,0,
170.897,209.877,0.282151,0,0,
472.934,101.446,0.0784337,0,0,
147.86,118.947,0.0537925,0,0,
329.368,280.852,0.772964,0,0,
190.429,151.507,0.763559,0,0,
80.3151,542.631,0.0715789,0,0,
460.059,207.497,0.70119,0,0,
303.915,689.112,0.876495,0,0,
50.3096,712.571,0.756317,0,0,
332.503,603.8,0.949337,0,0,
402.965,301.812,0.0835745,0,0,
39.3861,505.367,0.968377,0,0,
3.54526,568.243,0.334303,0,0,
80.2985,349.809,0.770841,0,0,
539.718,721.872,0.243672,0,0,
544.523,769.261,0.273859,0,0,
582.169,600.3,0.713007,0,0,
378.546,30.0031,0.563812,0,0,
418.77,756.886,0.398063,0,0,
585.005,78.6473,0.0534064,0,0,
115.439,253.382,0.419102,0,0,
89.009,154.619,0.911849,0,0,
476.863,521.965,0.332769,0,0,
94.0794,29.492,0.26659,0,0,
341.711,552.618,0.948716,0,0,
552.287,235.511,0.326558,0,0,
543.947,430.709,0.262848,0,0,
516.583,561.293,0.251556,0,0,
584.594,386.996,0.0306072,0,0,
303.435,616.743,0.444233,0,0,
295.979,129.681,0.77888,0,0,
496.399,665.999,0.373603,0,0,
308.783,306.215,0.206996,0,0,
417.825,272.653,0.959164,0,0,
471.98,452.388,0.826717,0,0,
97.4206,221.185,0.41091,0,0,
62.6529,359.765,0.260827,0,0,
428.432,535.293,0.733344,0,0,
511.302,21.4595,0.900389,0,0,
388.886,193.936,0.518166,0,0,
31.9859,76.022,0.0594955,0,0,
363.065,600.777,0.750588,0,0,
534.601,603.238,0.257316,0,0,
143.535,284.606,0.977147,0,0,
484.64,145.021,0.123392,0,0,
22.8968,555.456,0.439252,0,0,
313.967,446.147,0.50463,0,0,
510.288,641.505,0.88714,0,0,
169.345,234.184,0.351672,0,0,
242.248,596.897,0.774441,0,0,
54.0348,629.846,0.818375,0,0,
88.9254,714.564,0.552677,0,0,
571.584,304.193,0.224276,0,0,
373.909,351.144,0.0845345,0,0,
371.286,0.0568077,0.480824,0,0,
84.4401,61.736,0.520947,0,0,
165.953,352.651,0.918012,0,0,
268.048,590.178,0.348548,0,0,
299.222,286.645,0.283213,0,0,
245.634,232.712,0.25558,0,0,
316.118,476.073,0.249827,0,0,
502.455,81.1156,0.594064,0,0,
214.432,63.1284,0.186125,0,0,
140.829,26.6394,0.455201,0,0,
373.445,589.583,0.561556,0,0,
241.546,311.071,0.145324,0,0,
537.655,305.844,0.171999,0,0,
49.0931,454.147,0.855291,0,0,
382.823,187.192,0.78066,0,0,
296.746,617.407,0.36895,0,0,
399.277,32.2462,0.951432,0,0,
571.01,12.2732,0.743377,0,0,
224.943,589.588,0.356497,0,0,
519.948,374.893,0.738965,0,0,
293.369,241.885,0.9433,0,0,
285.338,397.71,0.504761,0,0,
326.855,591.589,0.489941,0,0,
148.526,604.192,0.199095,0,0,
87.1104,508.13,0.833567,0,0,
320.581,624.205,0.301817,0,0,
347.694,420.77,0.848277,0,0,
330.678,703.135,0.300716,0,0,
485.835,281.571,0.657195,0,0,
276.996,641.354,0.136012,0,0,
209.011,611.467,0.481018,0,0,
195.242,269.913,0.619283,0,0,
438.02,445.569,0.371769,0,0,
88.0763,22.3674,0.207488,0,0,
90.3793,524.422,0.28017,0,0,
237.464,551.857,0.789816,0,0,
336.522,81.6398,0.274066,0,0,
132.436,768.948,0.229043,0,0,
459.764,214.98,0.510567,0,0,
271.26,607.511,0.216849,0,0,
401.627,264.638,0.462915,0,0,
129.155,693.263,0.789721,0,0,
302.536,256.63,0.136658,0,0,
4.27011,267.561,0.684385,0,0,
499.858,617.224,0.258306,0,0,
360.188,311.777,0.892817,0,0,
26.2162,243.798,0.535286,0,0,
545.131,588.182,0.556202,0,0,
242.647,574.658,0.791392,0,0,
119.128,687.832,0.264346,0,0,
502.039,763.979,0.189531,0,0,
265.413,213.016,0.695522,0,0,
424.452,89.5575,0.430957,0,0,
469.998,436.079,0.00845061,0,0,
561.201,312.934,0.933846,0,0,
282.08,127.666,0.926935,0,0,
558.563,12.1747,0.567849,0,0,
285.875,113.078,0.281406,0,0,
275.059,787.966,0.436473,0,0,
289.762,20.3426,0.0362707,0,0,
501.522,196.435,0.110156,0,0,
597.365,564.009,0.548018,0,0,
155.267,239.615,0.235674,0,0,
164.408,198.481,0.857245,0,0,
367.513,477.297,0.459278,0,0,
548.553,222.484,0.183546,0,0,
57.7359,88.3648,0.0392426,0,0,
90.9509,211.263,0.315655,0,0,
221.934,712.668,0.196262,0,0,
46.0209,742.815,0.546918,0,0,
25.5454,456.228,0.957561,0,0,
93.5014,249.781,0.183738,0,0,
144.902,303.994,0.108531,0,0,
273.771,769.02,0.736776,0,0,
116.323,487.233,0.54974,0,0,
524.747,395.99,0.98122,0,0,
113.541,271.875,0.398716,0,0,
344.776,35.6805,0.941264,0,0,
243.706,707.722,0.388638,0,0,
530.494,467.632,0.756722,0,0,
113.403,462.178,0.294522,0,0,
29.5731,353.826,0.435527,0,0,
581.78,396.232,0.613313,0,0,
364.025,660.053,0.306698,0,0,
114.982,488.404,0.358034,0,0,
536.461,799.753,0.53263,0,0,
303.408,279.754,0.430041,0,0,
521.596,338.982,0.556736,0,0,
408.506,758.668,0.372373,0,0,
550.652,520.002,0.361101,0,0,
344.675,310.404,0.295668,0,0,
413.11,621.242,0.02798,0,0,
521.455,130.49,0.836189,0,0,
412.586,58.0117,0.668188,0,0,
114.6,634.03,0.5551,0,0,
136.29,67.4409,0.742523,0,0,
287.906,413.264,0.570157,0,0,
592.027,594.986,0.393825,0,0,
3.67789,96.4318,0.660151,0,0,
68.5559,633.341,0.607522,0,0,
266.117,281.276,0.992166,0,0,
266.678,668.602,0.436939,0,0,
524.414,246.762,0.874847,0,0,
542.474,446.586,0.381576,0,0,
31.8794,95.7673,0.655386,0,0,
361.63,72.6199,0.399478,0,0,
160.69,447.422,0.245389,0,0,
546.191,313.989,0.674048,0,0,
493.13,623.502,0.947073,0,0,
578.18,313.532,0.649394,0,0,
564.864,454.041,0.481268,0,0,
161.961,18.1857,0.276972,0,0,
72.7101,790.571,0.607927,0,0,
89.76,386.319,0.879686,0,0,
468.83,549.009,0.0793242,0,0,
412.946,377.677,0.735278,0,0,
203.584,366.994,0.887105,0,0,
29.1835,687.662,0.995952,0,0,
556.03,27.6523,0.905783,0,0,
8.5763,1.90943,0.638044,0,0,
317.314,405.947,0.414103,0,0,
150.491,776.71,0.953788,0,0,
